Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
Spain,ESP,1855,553264,0.553264,0,0,0,0,0,0.036163
Sweden,SWE,1855,315104,0.315104,0,0,0,0,0,0.086925
United Kingdom,GBR,1855,130442064,130.442064,0,0,0,0,0,4.709610
Austria,AUT,1856,4231920,4.231920,0,0,0,0,0,1.027165
Belgium,BEL,1856,13212384,13.212384,0,0,0,0,0,2.859205
Denmark,DNK,1856,648528,0.648528,0,0,0,0,0,0.402313
France,FRA,1856,34632128,34.591824,0.040304,0,0,0,0,0.934488
Germany,DEU,1856,30924160,30.924160,0,0,0,0,0,0.890801
Netherlands,NLD,1856,4722896,4.722896,0,0,0,0,0,1.451859
Norway,NOR,1856,304112,0.304112,0,0,0,0,0,0.202659
Spain,ESP,1856,754784,0.754784,0,0,0,0,0,0.049072
Sweden,SWE,1856,476320,0.476320,0,0,0,0,0,0.130249
United Kingdom,GBR,1856,140375168,140.375168,0,0,0,0,0,5.017341
Austria,AUT,1857,4873120,4.873120,0,0,0,0,0,1.174246
Belgium,BEL,1857,13754656,13.754656,0,0,0,0,0,2.957355
Denmark,DNK,1857,663184,0.663184,0,0,0,0,0,0.405865
France,FRA,1857,35280656,35.236688,0.043968,0,0,0,0,0.950449
Germany,DEU,1857,32939360,32.939360,0,0,0,0,0,0.941690
Netherlands,NLD,1857,4217264,4.217264,0,0,0,0,0,1.286928
Norway,NOR,1857,304112,0.304112,0,0,0,0,0,0.199976
Spain,ESP,1857,850048,0.850048,0,0,0,0,0,0.055001
Sweden,SWE,1857,611888,0.611888,0,0,0,0,0,0.166274
United Kingdom,GBR,1857,137861664,137.854336,0.007328,0,0,0,0,4.891140
Austria,AUT,1858,7243728,7.243728,0,0,0,0,0,1.733779
Belgium,BEL,1858,14450816,14.450816,0,0,0,0,0,3.087781
Denmark,DNK,1858,490976,0.490976,0,0,0,0,0,0.297021
France,FRA,1858,34595488,34.547856,0.047632,0,0,0,0,0.930486
Germany,DEU,1858,35610416,35.610416,0,0,0,0,0,1.009423
India,IND,1858,394488,0.394488,0,0,0,0,0,0.001627
Netherlands,NLD,1858,3707968,3.707968,0,0,0,0,0,1.125673
Norway,NOR,1858,267472,0.267472,0,0,0,0,0,0.173324
Spain,ESP,1858,1150496,1.150496,0,0,0,0,0,0.074101
Sweden,SWE,1858,512960,0.512960,0,0,0,0,0,0.138227
Switzerland,CHE,1858,146560,0.146560,0,0,0,0,0,0.059002
United Kingdom,GBR,1858,135113664,135.102672,0.010992,0,0,0,0,4.753841
Austria,AUT,1859,5866064,5.866064,0,0,0,0,0,1.394689
Belgium,BEL,1859,14897824,14.897824,0,0,0,0,0,3.163020
Denmark,DNK,1859,626544,0.626544,0,0,0,0,0,0.374280
France,FRA,1859,34991200,34.943573,0.047627,0,0,0,0,0.939613
Germany,DEU,1859,33807728,33.807728,0,0,0,0,0,0.948776
India,IND,1859,636486,0.636486,0,0,0,0,0,0.002615
Netherlands,NLD,1859,3524768,3.524768,0,0,0,0,0,1.066818
Norway,NOR,1859,326096,0.326096,0,0,0,0,0,0.207731
Spain,ESP,1859,1630480,1.630480,0,0,0,0,0,0.104625
Sweden,SWE,1859,754784,0.754784,0,0,0,0,0,0.200687
Switzerland,CHE,1859,205184,0.205184,0,0,0,0,0,0.082172
United Kingdom,GBR,1859,150011488,150.007824,0.003664,0,0,0,0,5.234176
Australia,AUS,1860,278464,0.278464,0,0,0,0,0,0.210003
Austria,AUT,1860,6148192,6.148192,0,0,0,0,0,1.451757
Belgium,BEL,1860,15212928,15.212928,0,0,0,0,0,3.209478
Denmark,DNK,1860,542272,0.542272,0,0,0,0,0,0.319736
Finland,FIN,1860,36640,0.036640,0,0,0,0,0,0.021082
France,FRA,1860,38131248,38.083621,0.047627,0,0,0,0,1.022285
Germany,DEU,1860,36394512,36.394512,0,0,0,0,0,1.009585
India,IND,1860,643116,0.643116,0,0,0,0,0,0.002633
Italy,ITA,1860,29312,0.029312,0,0,0,0,0,0.001124
Netherlands,NLD,1860,4796176,4.796176,0,0,0,0,0,1.445502
Norway,NOR,1860,333424,0.333424,0,0,0,0,0,0.208901
Spain,ESP,1860,1930928,1.930928,0,0,0,0,0,0.123445
Sweden,SWE,1860,751120,0.751120,0,0,0,0,0,0.196423
Switzerland,CHE,1860,304112,0.304112,0,0,0,0,0,0.121160
United Kingdom,GBR,1860,167950432,167.950432,0,0,0,0,0,5.813848
Australia,AUS,1861,509296,0.509296,0,0,0,0,0,0.378377
Austria,AUT,1861,6379024,6.379024,0,0,0,0,0,1.496370
Belgium,BEL,1861,16458688,16.458688,0,0,0,0,0,3.447568
Denmark,DNK,1861,784096,0.784096,0,0,0,0,0,0.456666
Finland,FIN,1861,73280,0.073280,0,0,0,0,0,0.041779
France,FRA,1861,41241984,41.194352,0.047632,0,0,0,0,1.103022
Germany,DEU,1861,41329920,41.329920,0,0,0,0,0,1.134347
India,IND,1861,497254,0.497254,0,0,0,0,0,0.002029
Italy,ITA,1861,670512,0.670512,0,0,0,0,0,0.025544
Netherlands,NLD,1861,4404128,4.404128,0,0,0,0,0,1.318601
Norway,NOR,1861,428688,0.428688,0,0,0,0,0,0.265626
Spain,ESP,1861,2004208,2.004208,0,0,0,0,0,0.127665
Sweden,SWE,1861,967296,0.967296,0,0,0,0,0,0.248790
Switzerland,CHE,1861,425024,0.425024,0,0,0,0,0,0.168393
United Kingdom,GBR,1861,175047600,175.043936,0.003664,0,0,0,0,6.009599
Australia,AUS,1862,355408,0.355408,0,0,0,0,0,0.257169
Austria,AUT,1862,6353376,6.353376,0,0,0,0,0,1.480283
Belgium,BEL,1862,16345104,16.345104,0,0,0,0,0,3.398857
Denmark,DNK,1862,677840,0.677840,0,0,0,0,0,0.389787
Finland,FIN,1862,73280,0.073280,0,0,0,0,0,0.041308
France,FRA,1862,43524656,43.477024,0.047632,0,0,0,0,1.160039
Germany,DEU,1862,45539856,45.539856,0,0,0,0,0,1.237900
India,IND,1862,550295,0.550295,0,0,0,0,0,0.002237
Italy,ITA,1862,1227440,1.227440,0,0,0,0,0,0.046462
Netherlands,NLD,1862,5671872,5.671872,0,0,0,0,0,1.685048
Norway,NOR,1862,370064,0.370064,0,0,0,0,0,0.227454
Spain,ESP,1862,2187408,2.187408,0,0,0,0,0,0.138848
Sweden,SWE,1862,985616,0.985616,0,0,0,0,0,0.250029
Switzerland,CHE,1862,468992,0.468992,0,0,0,0,0,0.184788
United Kingdom,GBR,1862,169470992,169.408704,0.062288,0,0,0,0,5.764123
Australia,AUS,1863,399376,0.399376,0,0,0,0,0,0.278894
Austria,AUT,1863,5877056,5.877056,0,0,0,0,0,1.360115
Belgium,BEL,1863,17228128,17.228128,0,0,0,0,0,3.556591
Denmark,DNK,1863,754784,0.754784,0,0,0,0,0,0.428611
Finland,FIN,1863,76944,0.076944,0,0,0,0,0,0.042890
France,FRA,1863,44187840,44.136544,0.051296,0,0,0,0,1.171780
Germany,DEU,1863,49383392,49.383392,0,0,0,0,0,1.328082
India,IND,1863,609965,0.609965,0,0,0,0,0,0.002471
Italy,ITA,1863,1069888,1.069888,0,0,0,0,0,0.040206
Netherlands,NLD,1863,4085360,4.074368,0.010992,0,0,0,0,1.202638
Norway,NOR,1863,362736,0.362736,0,0,0,0,0,0.220316
Spain,ESP,1863,2432896,2.432896,0,0,0,0,0,0.153893
Sweden,SWE,1863,985616,0.985616,0,0,0,0,0,0.246774
Switzerland,CHE,1863,468992,0.468992,0,0,0,0,0,0.183774
United Kingdom,GBR,1863,180224832,180.136896,0.087936,0,0,0,0,6.082512
Australia,AUS,1864,267472,0.267472,0,0,0,0,0,0.178911
Austria,AUT,1864,5074640,5.063656,0.010984,0,0,0,0,1.166584
Belgium,BEL,1864,18081840,18.081840,0,0,0,0,0,3.706055
Denmark,DNK,1864,648528,0.648528,0,0,0,0,0,0.364957
Finland,FIN,1864,47632,0.047632,0,0,0,0,0,0.026272
France,FRA,1864,46829584,46.774624,0.054960,0,0,0,0,1.236915
